f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,name,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all
18.0,36.0,54.0,66.0,8.944199999999997,19.126800000000006,27.591,31.00020000000001,90.0,216.0,294.0,306.0,711.0,1260.0,1896.0,1944.0,144.0441,255.96900000000002,399.6456,462.2129999999999,hkust1_primitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,36.0,54.0,66.0,8.944199999999997,19.126800000000006,27.591,31.00020000000001,90.0,216.0,294.0,306.0,711.0,1260.0,1896.0,1944.0,144.0441,255.96900000000002,399.64559999999983,462.2129999999999,hkust1_primitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,36.0,54.0,66.0,8.944199999999997,19.126800000000006,27.590999999999998,31.00020000000001,90.0,216.0,294.0,306.0,711.0,1260.0,1896.0,1944.0,144.0441,255.96900000000002,399.64559999999983,462.2129999999999,hkust1_primitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,36.0,54.0,66.0,8.944199999999997,19.126800000000006,27.590999999999998,31.00020000000001,90.0,216.0,294.0,306.0,711.0,1260.0,1896.0,1944.0,144.0441,255.96900000000002,399.6456,462.2129999999999,hkust1_primitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,36.0,54.0,66.0,8.9442,19.126800000000006,27.590999999999998,31.00020000000001,90.0,216.0,294.0,306.0,711.0,1260.0,1896.0,1944.0,144.0441,255.96900000000002,399.6456,462.213,hkust1_primitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,36.0,54.0,66.0,8.944200000000002,19.126800000000006,27.590999999999998,31.00020000000001,90.0,216.0,294.0,306.0,711.0,1260.0,1896.0,1944.0,144.0441,255.96900000000002,399.6456,462.21299999999985,hkust1_primitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,36.0,54.0,66.0,8.9442,19.126800000000006,27.591000000000005,31.00020000000001,90.0,216.0,294.0,306.0,711.0,1260.0,1896.0,1944.0,144.0441,255.96900000000002,399.6456,462.21299999999985,hkust1_primitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,36.0,54.0,66.0,8.9442,19.126800000000006,27.591000000000005,31.00020000000001,90.0,216.0,294.0,306.0,711.0,1260.0,1896.0,1944.0,144.0441,255.96900000000002,399.64559999999983,462.21299999999985,hkust1_primitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,32.0,48.0,58.0,7.4224,16.262400000000007,23.0448,24.6794,80.0,192.0,256.0,250.0,548.0,1008.0,1456.0,1420.0,118.7144,219.096,337.32039999999995,385.38699999999994,UiO66_primitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,32.0,48.0,58.0,7.4224,16.262400000000007,23.0448,24.6794,80.0,192.0,256.0,250.0,548.0,1008.0,1456.0,1420.0,118.7144,219.096,337.32039999999995,385.38699999999994,UiO66_primitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,32.0,48.0,58.0,7.4224,16.262400000000007,23.0448,24.679399999999994,80.0,192.0,256.0,250.0,548.0,1008.0,1456.0,1420.0,118.7144,219.096,337.32039999999995,385.38699999999994,UiO66_primitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,32.0,48.0,58.0,7.4224,16.262400000000007,23.0448,24.6794,80.0,192.0,256.0,250.0,548.0,1008.0,1456.0,1420.0,118.7144,219.096,337.32039999999995,385.38699999999994,UiO66_primitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,32.0,48.0,58.0,7.422399999999999,16.262400000000007,23.0448,24.679399999999994,80.0,192.0,256.0,250.0,548.0,1008.0,1456.0,1420.0,118.7144,219.096,337.32040000000006,385.38700000000006,UiO66_primitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,32.0,48.0,58.0,7.422399999999999,16.262400000000007,23.04480000000001,24.679399999999994,80.0,192.0,256.0,250.0,548.0,1008.0,1456.0,1420.0,118.7144,219.096,337.32040000000006,385.38700000000006,UiO66_primitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,36.0,54.0,66.0,8.944199999999997,19.126800000000006,27.591,31.00020000000001,90.0,216.0,294.0,306.0,711.0,1260.0,1896.0,1944.0,144.0441,255.96900000000002,399.6456,462.2129999999999,hkust1_primitive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.08000000000000007,0.0,-2.0,-2.0,-4.0,0.0,2.0,2.0,4.0,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,0.0,0.8900000000000002,0.8900000000000002,1.7800000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.5328999999999998,0.5621,1.095,1.1242,1.0,3.0,4.0,6.0,64.0,48.0,112.0,96.0,28.09,59.88999999999999,87.98,119.78,11.8336,8.771999999999998,20.605599999999995,17.543999999999997
18.0,36.0,54.0,66.0,8.944199999999997,19.126800000000006,27.591,31.00020000000001,90.0,216.0,294.0,306.0,711.0,1260.0,1896.0,1944.0,144.0441,255.96900000000002,399.64559999999983,462.2129999999999,hkust1_primitive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.08000000000000007,0.0,-2.0,-2.0,-4.0,0.0,2.0,2.0,4.0,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,0.0,0.8900000000000002,0.8900000000000002,1.7800000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.5328999999999998,0.5621,1.095,1.1242,1.0,3.0,4.0,6.0,64.0,48.0,112.0,96.0,28.09,59.88999999999999,87.98,119.78,11.8336,8.771999999999998,20.605599999999995,17.543999999999997
18.0,36.0,54.0,66.0,8.944199999999997,19.126800000000006,27.590999999999998,31.00020000000001,90.0,216.0,294.0,306.0,711.0,1260.0,1896.0,1944.0,144.0441,255.96899999999997,399.64559999999983,462.2129999999999,hkust1_primitive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.08000000000000007,0.0,-2.0,-2.0,-4.0,0.0,2.0,2.0,4.0,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,0.0,0.8900000000000002,0.8900000000000002,1.7800000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.5328999999999998,0.5621,1.095,1.1242,1.0,3.0,4.0,6.0,64.0,48.0,112.0,96.0,28.09,59.88999999999999,87.98,119.78,11.8336,8.771999999999998,20.605599999999995,17.543999999999997
18.0,36.0,54.0,66.0,8.944199999999997,19.126800000000006,27.590999999999998,31.00020000000001,90.0,216.0,294.0,306.0,711.0,1260.0,1896.0,1944.0,144.0441,255.96899999999997,399.6456,462.2129999999999,hkust1_primitive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.08000000000000007,0.0,-2.0,-2.0,-4.0,0.0,2.0,2.0,4.0,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,0.0,0.8900000000000002,0.8900000000000002,1.7800000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.5328999999999998,0.5621,1.095,1.1242,1.0,3.0,4.0,6.0,64.0,48.0,112.0,96.0,28.09,59.88999999999999,87.98,119.78,11.8336,8.771999999999998,20.605599999999995,17.543999999999997
18.0,36.0,54.0,66.0,8.9442,19.126800000000006,27.590999999999998,31.00020000000001,90.0,216.0,294.0,306.0,711.0,1260.0,1896.0,1944.0,144.0441,255.96900000000002,399.6456,462.213,hkust1_primitive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.08000000000000007,0.0,-2.0,-2.0,-4.0,0.0,2.0,2.0,4.0,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,0.0,0.8900000000000002,0.8900000000000002,1.7800000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.5328999999999998,0.5621,1.095,1.1242,1.0,3.0,4.0,6.0,64.0,48.0,112.0,96.0,28.09,59.88999999999999,87.98,119.78,11.8336,8.771999999999998,20.605599999999995,17.543999999999997
18.0,36.0,54.0,66.0,8.944200000000002,19.126800000000006,27.590999999999998,31.00020000000001,90.0,216.0,294.0,306.0,711.0,1260.0,1896.0,1944.0,144.0441,255.96900000000002,399.6456,462.21299999999985,hkust1_primitive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.08000000000000007,0.0,-2.0,-2.0,-4.0,0.0,2.0,2.0,4.0,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,0.0,0.8900000000000002,0.8900000000000002,1.7800000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.5328999999999998,0.5621,1.095,1.1242,1.0,3.0,4.0,6.0,64.0,48.0,112.0,96.0,28.09,59.88999999999999,87.98,119.78,11.8336,8.771999999999998,20.605599999999995,17.543999999999997
18.0,36.0,54.0,66.0,8.9442,19.126800000000006,27.591000000000005,31.00020000000001,90.0,216.0,294.0,306.0,711.0,1260.0,1896.0,1944.0,144.0441,255.96900000000002,399.6456,462.21299999999985,hkust1_primitive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.08000000000000007,0.0,-2.0,-2.0,-4.0,0.0,2.0,2.0,4.0,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,0.0,0.8900000000000002,0.8900000000000002,1.7800000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.5328999999999998,0.5621,1.095,1.1242,1.0,3.0,4.0,6.0,64.0,48.0,112.0,96.0,28.09,59.88999999999999,87.98,119.78,11.8336,8.771999999999998,20.605599999999995,17.543999999999997
18.0,36.0,54.0,66.0,8.9442,19.126800000000006,27.591000000000005,31.00020000000001,90.0,216.0,294.0,306.0,711.0,1260.0,1896.0,1944.0,144.0441,255.96900000000002,399.64559999999983,462.21299999999985,hkust1_primitive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.08000000000000007,0.0,-2.0,-2.0,-4.0,0.0,2.0,2.0,4.0,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,0.0,0.8900000000000002,0.8900000000000002,1.7800000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.5328999999999998,0.5621,1.095,1.1242,1.0,3.0,4.0,6.0,64.0,48.0,112.0,96.0,28.09,59.88999999999999,87.98,119.78,11.8336,8.771999999999998,20.605599999999995,17.543999999999997
16.0,32.0,48.0,58.0,7.4224,16.262400000000007,23.044800000000002,24.6794,80.0,192.0,256.0,250.0,548.0,1008.0,1456.0,1420.0,118.7144,219.096,337.32039999999995,385.38699999999994,UiO66_primitive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.08000000000000007,0.0,-2.0,-2.0,-4.0,0.0,2.0,2.0,4.0,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.5328999999999999,0.5621,1.095,1.1242,1.0,3.0,4.0,6.0,64.0,48.0,112.0,96.0,28.09,59.89,87.98,119.78,11.833599999999999,8.771999999999998,20.605599999999995,17.543999999999997
16.0,32.0,48.0,58.0,7.4224,16.262400000000007,23.0448,24.6794,80.0,192.0,256.0,250.0,548.0,1008.0,1456.0,1420.0,118.7144,219.096,337.32039999999995,385.38699999999994,UiO66_primitive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.08000000000000007,0.0,-2.0,-2.0,-4.0,0.0,2.0,2.0,4.0,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.5328999999999999,0.5621,1.095,1.1242,1.0,3.0,4.0,6.0,64.0,48.0,112.0,96.0,28.09,59.89,87.98,119.78,11.833599999999999,8.771999999999998,20.605599999999995,17.543999999999997
