D_mc_CRY-I-0-all,D_mc_CRY-I-1-all,D_mc_CRY-I-2-all,D_mc_CRY-I-3-all,D_mc_CRY-S-0-all,D_mc_CRY-S-1-all,D_mc_CRY-S-2-all,D_mc_CRY-S-3-all,D_mc_CRY-T-0-all,D_mc_CRY-T-1-all,D_mc_CRY-T-2-all,D_mc_CRY-T-3-all,D_mc_CRY-Z-0-all,D_mc_CRY-Z-1-all,D_mc_CRY-Z-2-all,D_mc_CRY-Z-3-all,D_mc_CRY-chi-0-all,D_mc_CRY-chi-1-all,D_mc_CRY-chi-2-all,D_mc_CRY-chi-3-all,mc_CRY-I-0-all,mc_CRY-I-1-all,mc_CRY-I-2-all,mc_CRY-I-3-all,mc_CRY-S-0-all,mc_CRY-S-1-all,mc_CRY-S-2-all,mc_CRY-S-3-all,mc_CRY-T-0-all,mc_CRY-T-1-all,mc_CRY-T-2-all,mc_CRY-T-3-all,mc_CRY-Z-0-all,mc_CRY-Z-1-all,mc_CRY-Z-2-all,mc_CRY-Z-3-all,mc_CRY-chi-0-all,mc_CRY-chi-1-all,mc_CRY-chi-2-all,mc_CRY-chi-3-all,name,sum-D_mc_CRY-I-0-all,sum-D_mc_CRY-I-1-all,sum-D_mc_CRY-I-2-all,sum-D_mc_CRY-I-3-all,sum-D_mc_CRY-S-0-all,sum-D_mc_CRY-S-1-all,sum-D_mc_CRY-S-2-all,sum-D_mc_CRY-S-3-all,sum-D_mc_CRY-T-0-all,sum-D_mc_CRY-T-1-all,sum-D_mc_CRY-T-2-all,sum-D_mc_CRY-T-3-all,sum-D_mc_CRY-Z-0-all,sum-D_mc_CRY-Z-1-all,sum-D_mc_CRY-Z-2-all,sum-D_mc_CRY-Z-3-all,sum-D_mc_CRY-chi-0-all,sum-D_mc_CRY-chi-1-all,sum-D_mc_CRY-chi-2-all,sum-D_mc_CRY-chi-3-all,sum-mc_CRY-I-0-all,sum-mc_CRY-I-1-all,sum-mc_CRY-I-2-all,sum-mc_CRY-I-3-all,sum-mc_CRY-S-0-all,sum-mc_CRY-S-1-all,sum-mc_CRY-S-2-all,sum-mc_CRY-S-3-all,sum-mc_CRY-T-0-all,sum-mc_CRY-T-1-all,sum-mc_CRY-T-2-all,sum-mc_CRY-T-3-all,sum-mc_CRY-Z-0-all,sum-mc_CRY-Z-1-all,sum-mc_CRY-Z-2-all,sum-mc_CRY-Z-3-all,sum-mc_CRY-chi-0-all,sum-mc_CRY-chi-1-all,sum-mc_CRY-chi-2-all,sum-mc_CRY-chi-3-all
0.0,0.0,0.0,0.0,0.0,2.6,2.439999999999999,5.039999999999999,0.0,8.0,4.0,12.0,0.0,84.0,92.0,176.0,0.0,-6.1599999999999975,-2.6,-8.760000000000002,1.0,4.0,4.0,8.0,1.9043999999999992,4.0296,4.2504,8.28,16.0,32.0,48.0,80.0,841.0,928.0,696.0,1624.0,3.61,26.144000000000002,19.38,45.524,hkust1_primitive,0.0,0.0,0.0,0.0,0.0,31.20000000000001,29.27999999999999,60.47999999999999,0.0,96.0,48.0,144.0,0.0,1008.0,1104.0,2112.0,0.0,-73.91999999999999,-31.20000000000001,-105.12000000000003,12.0,48.0,48.0,96.0,22.85279999999999,48.3552,51.0048,99.36,192.0,384.0,576.0,960.0,10092.0,11136.0,8352.0,19488.0,43.32,313.728,232.56,546.288
0.0,0.0,0.0,0.0,0.0,6.480000000000002,3.08,19.28,0.0,44.0,20.0,136.0,0.0,256.0,136.0,776.0,0.0,-16.88,-4.879999999999999,-47.07999999999999,1.0,8.0,8.0,24.0,2.3716000000000004,8.9936,14.229600000000005,27.22720000000001,64.0,160.0,352.0,448.0,1600.0,2560.0,7360.0,7360.0,1.7689,36.60160000000001,20.6416,105.06999999999998,UiO66_primitive,0.0,0.0,0.0,0.0,0.0,38.880000000000024,18.48,115.68,0.0,264.0,120.0,816.0,0.0,1536.0,816.0,4656.0,0.0,-101.28,-29.279999999999994,-282.48,6.0,48.0,48.0,144.0,14.2296,53.9616,85.37760000000002,163.3632000000001,384.0,960.0,2112.0,2688.0,9600.0,15360.0,44160.0,44160.0,10.6134,219.60960000000009,123.84959999999998,630.4199999999997
0.0,0.0,0.0,0.0,0.0,2.6,2.439999999999999,5.039999999999999,0.0,8.0,4.0,12.0,0.0,84.0,92.0,176.0,0.0,-6.1599999999999975,-2.6,-8.760000000000002,1.0,4.0,4.0,8.0,1.9043999999999992,4.0296,4.2504,8.28,16.0,32.0,48.0,80.0,841.0,928.0,696.0,1624.0,3.61,26.144000000000002,19.38,45.524,hkust1_primitive,0.0,0.0,0.0,0.0,0.0,31.20000000000001,29.27999999999999,60.47999999999999,0.0,96.0,48.0,144.0,0.0,1008.0,1104.0,2112.0,0.0,-73.91999999999999,-31.20000000000001,-105.12000000000003,12.0,48.0,48.0,96.0,22.85279999999999,48.3552,51.0048,99.36,192.0,384.0,576.0,960.0,10092.0,11136.0,8352.0,19488.0,43.32,313.728,232.56,546.288
0.0,0.0,0.0,0.0,0.0,6.480000000000002,3.08,19.28,0.0,44.0,20.0,136.0,0.0,256.0,136.0,776.0,0.0,-16.88,-4.879999999999999,-47.07999999999999,1.0,8.0,8.0,24.0,2.3716000000000004,8.9936,14.229600000000005,27.22720000000001,64.0,160.0,352.0,448.0,1600.0,2560.0,7360.0,7360.0,1.7689,36.60160000000001,20.6416,105.06999999999998,UiO66_primitive,0.0,0.0,0.0,0.0,0.0,38.880000000000024,18.48,115.68,0.0,264.0,120.0,816.0,0.0,1536.0,816.0,4656.0,0.0,-101.28,-29.279999999999994,-282.48,6.0,48.0,48.0,144.0,14.2296,53.9616,85.37760000000002,163.3632000000001,384.0,960.0,2112.0,2688.0,9600.0,15360.0,44160.0,44160.0,10.6134,219.60960000000009,123.84959999999998,630.4199999999997
0.0,0.0,0.0,0.0,0.0,2.6,2.439999999999999,5.039999999999999,0.0,8.0,4.0,12.0,0.0,84.0,92.0,176.0,0.0,-6.1599999999999975,-2.6,-8.760000000000002,1.0,4.0,4.0,8.0,1.9043999999999992,4.0296,4.2504,8.28,16.0,32.0,48.0,80.0,841.0,928.0,696.0,1624.0,3.61,26.144000000000002,19.38,45.524,hkust1_primitive,0.0,0.0,0.0,0.0,0.0,31.20000000000001,29.27999999999999,60.47999999999999,0.0,96.0,48.0,144.0,0.0,1008.0,1104.0,2112.0,0.0,-73.91999999999999,-31.20000000000001,-105.12000000000003,12.0,48.0,48.0,96.0,22.85279999999999,48.3552,51.0048,99.36,192.0,384.0,576.0,960.0,10092.0,11136.0,8352.0,19488.0,43.32,313.728,232.56,546.288
0.0,0.0,0.0,0.0,0.0,6.480000000000002,3.08,19.28,0.0,44.0,20.0,136.0,0.0,256.0,136.0,776.0,0.0,-16.88,-4.879999999999999,-47.07999999999999,1.0,8.0,8.0,24.0,2.3716000000000004,8.9936,14.229600000000005,27.22720000000001,64.0,160.0,352.0,448.0,1600.0,2560.0,7360.0,7360.0,1.7689,36.60160000000001,20.6416,105.06999999999998,UiO66_primitive,0.0,0.0,0.0,0.0,0.0,38.880000000000024,18.48,115.68,0.0,264.0,120.0,816.0,0.0,1536.0,816.0,4656.0,0.0,-101.28,-29.279999999999994,-282.48,6.0,48.0,48.0,144.0,14.2296,53.9616,85.37760000000002,163.3632000000001,384.0,960.0,2112.0,2688.0,9600.0,15360.0,44160.0,44160.0,10.6134,219.60960000000009,123.84959999999998,630.4199999999997
0.0,0.0,0.0,0.0,0.0,2.6,2.439999999999999,5.039999999999999,0.0,8.0,4.0,12.0,0.0,84.0,92.0,176.0,0.0,-6.1599999999999975,-2.6,-8.760000000000002,1.0,4.0,4.0,8.0,1.9043999999999992,4.0296,4.2504,8.28,16.0,32.0,48.0,80.0,841.0,928.0,696.0,1624.0,3.61,26.144000000000002,19.38,45.524,hkust1_primitive,0.0,0.0,0.0,0.0,0.0,31.20000000000001,29.27999999999999,60.47999999999999,0.0,96.0,48.0,144.0,0.0,1008.0,1104.0,2112.0,0.0,-73.91999999999999,-31.20000000000001,-105.12000000000003,12.0,48.0,48.0,96.0,22.85279999999999,48.3552,51.0048,99.36,192.0,384.0,576.0,960.0,10092.0,11136.0,8352.0,19488.0,43.32,313.728,232.56,546.288
0.0,0.0,0.0,0.0,0.0,6.480000000000002,3.08,19.28,0.0,44.0,20.0,136.0,0.0,256.0,136.0,776.0,0.0,-16.88,-4.879999999999999,-47.07999999999999,1.0,8.0,8.0,24.0,2.3716000000000004,8.9936,14.229600000000005,27.22720000000001,64.0,160.0,352.0,448.0,1600.0,2560.0,7360.0,7360.0,1.7689,36.60160000000001,20.6416,105.06999999999998,UiO66_primitive,0.0,0.0,0.0,0.0,0.0,38.880000000000024,18.48,115.68,0.0,264.0,120.0,816.0,0.0,1536.0,816.0,4656.0,0.0,-101.28,-29.279999999999994,-282.48,6.0,48.0,48.0,144.0,14.2296,53.9616,85.37760000000002,163.3632000000001,384.0,960.0,2112.0,2688.0,9600.0,15360.0,44160.0,44160.0,10.6134,219.60960000000009,123.84959999999998,630.4199999999997
0.0,0.0,0.0,0.0,0.0,2.6,2.439999999999999,5.039999999999999,0.0,8.0,4.0,12.0,0.0,84.0,92.0,176.0,0.0,-6.1599999999999975,-2.6,-8.760000000000002,1.0,4.0,4.0,8.0,1.9043999999999992,4.0296,4.2504,8.28,16.0,32.0,48.0,80.0,841.0,928.0,696.0,1624.0,3.61,26.144000000000002,19.38,45.524,hkust1_primitive,0.0,0.0,0.0,0.0,0.0,31.20000000000001,29.27999999999999,60.47999999999999,0.0,96.0,48.0,144.0,0.0,1008.0,1104.0,2112.0,0.0,-73.91999999999999,-31.20000000000001,-105.12000000000003,12.0,48.0,48.0,96.0,22.85279999999999,48.3552,51.0048,99.36,192.0,384.0,576.0,960.0,10092.0,11136.0,8352.0,19488.0,43.32,313.728,232.56,546.288
0.0,0.0,0.0,0.0,0.0,6.480000000000002,3.08,19.28,0.0,44.0,20.0,136.0,0.0,256.0,136.0,776.0,0.0,-16.88,-4.879999999999999,-47.07999999999999,1.0,8.0,8.0,24.0,2.3716000000000004,8.9936,14.229600000000005,27.22720000000001,64.0,160.0,352.0,448.0,1600.0,2560.0,7360.0,7360.0,1.7689,36.60160000000001,20.6416,105.06999999999998,UiO66_primitive,0.0,0.0,0.0,0.0,0.0,38.880000000000024,18.48,115.68,0.0,264.0,120.0,816.0,0.0,1536.0,816.0,4656.0,0.0,-101.28,-29.279999999999994,-282.48,6.0,48.0,48.0,144.0,14.2296,53.9616,85.37760000000002,163.3632000000001,384.0,960.0,2112.0,2688.0,9600.0,15360.0,44160.0,44160.0,10.6134,219.60960000000009,123.84959999999998,630.4199999999997
0.0,0.0,0.0,0.0,0.0,2.6,2.439999999999999,5.039999999999999,0.0,8.0,4.0,12.0,0.0,84.0,92.0,176.0,0.0,-6.1599999999999975,-2.6,-8.760000000000002,1.0,4.0,4.0,8.0,1.9043999999999992,4.0296,4.2504,8.28,16.0,32.0,48.0,80.0,841.0,928.0,696.0,1624.0,3.61,26.144000000000002,19.38,45.524,hkust1_primitive,0.0,0.0,0.0,0.0,0.0,31.20000000000001,29.27999999999999,60.47999999999999,0.0,96.0,48.0,144.0,0.0,1008.0,1104.0,2112.0,0.0,-73.91999999999999,-31.20000000000001,-105.12000000000003,12.0,48.0,48.0,96.0,22.85279999999999,48.3552,51.0048,99.36,192.0,384.0,576.0,960.0,10092.0,11136.0,8352.0,19488.0,43.32,313.728,232.56,546.288
0.0,0.0,0.0,0.0,0.0,6.480000000000002,3.08,19.28,0.0,44.0,20.0,136.0,0.0,256.0,136.0,776.0,0.0,-16.88,-4.879999999999999,-47.07999999999999,1.0,8.0,8.0,24.0,2.3716000000000004,8.9936,14.229600000000005,27.22720000000001,64.0,160.0,352.0,448.0,1600.0,2560.0,7360.0,7360.0,1.7689,36.60160000000001,20.6416,105.06999999999998,UiO66_primitive,0.0,0.0,0.0,0.0,0.0,38.880000000000024,18.48,115.68,0.0,264.0,120.0,816.0,0.0,1536.0,816.0,4656.0,0.0,-101.28,-29.279999999999994,-282.48,6.0,48.0,48.0,144.0,14.2296,53.9616,85.37760000000002,163.3632000000001,384.0,960.0,2112.0,2688.0,9600.0,15360.0,44160.0,44160.0,10.6134,219.60960000000009,123.84959999999998,630.4199999999997
